-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1981 through 04/23/2020 
Location: Latitude  47.3929   Longitude -124.3132 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 107.92 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,PS,QV2M,T2M_RANGE,TS,T2MDEW,T2M,WS50M,WS10M,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
47.39291,-124.31319,1981,02,13,   25.22,   99.56,  0.007548,    3.07,    9.67,    9.66,   10.37,    9.44,    6.43,-999,-999,-999
47.39291,-124.31319,1981,02,14,   34.77,  100.28,  0.006620,    0.86,    8.71,    7.86,    8.94,    8.79,    6.39,-999,-999,-999
47.39291,-124.31319,1981,02,15,   55.73,   99.79,  0.007260,    1.49,    9.26,    9.14,    9.74,   10.01,    7.09,-999,-999,-999
47.39291,-124.31319,1981,02,16,   33.02,   99.03,  0.007154,    3.09,    9.29,    8.77,    9.77,   13.41,    9.88,-999,-999,-999
47.39291,-124.31319,1981,02,17,   31.71,  100.14,  0.006471,    1.34,    8.52,    7.50,    8.72,    8.44,    6.15,-999,-999,-999
47.39291,-124.31319,1981,02,18,   24.66,   99.68,  0.006901,    3.72,    9.01,    8.34,    9.35,    7.07,    4.94,-999,-999,-999
47.39291,-124.31319,1981,02,19,   18.86,   99.61,  0.005719,    5.85,    8.10,    5.44,    7.93,   12.25,    9.23,-999,-999,-999
47.39291,-124.31319,1981,02,20,    3.62,  101.76,  0.005302,    2.64,    7.44,    4.75,    7.09,    6.36,    4.74,-999,-999,-999
47.39291,-124.31319,1981,02,21,    0.79,  101.69,  0.005975,    3.06,    8.41,    6.55,    8.58,    3.21,    2.19,-999,-999,-999
47.39291,-124.31319,1981,02,22,    0.84,  100.51,  0.005638,    7.52,    9.16,    5.35,    9.56,    4.31,    2.86,-999,-999,-999
47.39291,-124.31319,1981,02,23,    7.75,   99.03,  0.005904,    3.33,    7.84,    5.92,    7.75,    6.62,    4.98,-999,-999,-999
47.39291,-124.31319,1981,02,24,   10.44,   98.76,  0.005015,    0.85,    6.44,    3.63,    5.60,    3.81,    2.90,-999,-999,-999
47.39291,-124.31319,1981,02,25,    1.18,   99.45,  0.005255,    2.12,    6.91,    4.39,    6.41,    3.23,    2.53,-999,-999,-999
47.39291,-124.31319,1981,02,26,    0.55,   99.76,  0.005045,    5.91,    7.34,    3.79,    7.60,    2.53,    1.73,-999,-999,-999
47.39291,-124.31319,1981,02,27,    3.19,  100.24,  0.005563,    3.63,    7.40,    5.27,    6.70,    5.74,    4.47,-999,-999,-999
47.39291,-124.31319,1981,02,28,    0.06,  100.10,  0.005731,    7.60,    8.52,    5.65,    8.70,    5.60,    3.71,-999,-999,-999
47.39291,-124.31319,1981,03,01,    0.09,  100.14,  0.005248,    6.53,    8.18,    4.26,    9.37,    2.63,    1.93,-999,-999,-999
47.39291,-124.31319,1981,03,02,    3.14,   99.96,  0.005551,    5.39,    7.86,    5.15,    7.90,    2.17,    1.71,-999,-999,-999
47.39291,-124.31319,1981,03,03,   13.11,   99.44,  0.005914,    1.98,    7.88,    6.06,    7.37,    5.96,    4.76,-999,-999,-999
47.39291,-124.31319,1981,03,04,    1.13,   99.99,  0.004318,    3.14,    6.91,    1.68,    6.24,    6.45,    4.99,-999,-999,-999
47.39291,-124.31319,1981,03,05,    0.33,  100.56,  0.003790,    3.80,    6.16,   -0.04,    6.36,    2.28,    1.92,-999,-999,-999
47.39291,-124.31319,1981,03,06,    0.40,   99.95,  0.004381,    6.77,    7.18,    1.78,    6.44,    6.43,    4.94,-999,-999,-999
47.39291,-124.31319,1981,03,07,    9.61,  100.33,  0.005490,    4.30,    7.52,    5.07,    7.06,    6.32,    4.82,-999,-999,-999
47.39291,-124.31319,1981,03,08,    0.50,  101.31,  0.005538,    6.02,    8.16,    5.36,    7.93,    5.15,    3.67,-999,-999,-999
47.39291,-124.31319,1981,03,09,    0.00,  101.10,  0.005677,    7.75,    8.84,    5.60,    9.17,    5.83,    3.99,-999,-999,-999
47.39291,-124.31319,1981,03,10,    0.90,  101.53,  0.006435,    3.01,    8.27,    7.57,    8.50,    2.77,    2.04,-999,-999,-999
47.39291,-124.31319,1981,03,11,    0.05,  101.07,  0.006329,    6.00,    8.88,    7.26,    9.42,    2.26,    1.59,-999,-999,-999
47.39291,-124.31319,1981,03,12,    0.12,  100.22,  0.006053,    6.12,    8.61,    6.44,    9.17,    3.11,    2.25,-999,-999,-999
47.39291,-124.31319,1981,03,13,    0.97,  100.55,  0.005987,    4.18,    8.56,    6.39,    8.52,    3.00,    2.36,-999,-999,-999
47.39291,-124.31319,1981,03,14,    1.67,  100.36,  0.005637,    4.18,    8.52,    5.54,    8.29,    5.28,    3.95,-999,-999,-999
47.39291,-124.31319,1981,03,15,   14.72,  100.17,  0.005991,    1.63,    8.11,    6.37,    7.95,    4.93,    3.71,-999,-999,-999
47.39291,-124.31319,1981,03,16,    0.61,  101.27,  0.004990,    4.53,    7.96,    3.89,    7.78,    6.78,    5.03,-999,-999,-999
47.39291,-124.31319,1981,03,17,    0.40,  101.34,  0.004708,    7.19,    7.47,    3.04,    7.38,    4.21,    2.99,-999,-999,-999
47.39291,-124.31319,1981,03,18,    0.20,  100.07,  0.004786,    6.95,    8.57,    3.08,    8.60,    9.40,    6.77,-999,-999,-999
47.39291,-124.31319,1981,03,19,    0.17,   99.45,  0.005543,    5.53,    9.01,    5.09,    9.18,    4.24,    2.96,-999,-999,-999
47.39291,-124.31319,1981,03,20,    0.77,   98.98,  0.006027,    4.74,    8.88,    6.19,    9.13,    4.00,    2.93,-999,-999,-999
47.39291,-124.31319,1981,03,21,    5.10,   99.45,  0.006510,    4.41,    9.11,    7.48,    9.04,    5.97,    4.39,-999,-999,-999
47.39291,-124.31319,1981,03,22,    7.29,  100.57,  0.005828,    4.00,    9.18,    6.02,    9.27,    6.25,    4.53,-999,-999,-999
47.39291,-124.31319,1981,03,23,   14.32,  100.74,  0.006010,    4.44,    8.78,    6.44,    8.95,    5.17,    3.57,-999,-999,-999
47.39291,-124.31319,1981,03,24,   21.86,  100.25,  0.006561,    4.16,    9.17,    7.66,    9.15,    7.47,    5.58,-999,-999,-999
47.39291,-124.31319,1981,03,25,    2.77,   99.60,  0.006665,    3.36,    9.23,    7.80,    9.68,    3.91,    2.69,-999,-999,-999
47.39291,-124.31319,1981,03,26,    0.19,  100.26,  0.006122,    5.47,    8.88,    6.66,    8.79,    5.72,    4.44,-999,-999,-999
47.39291,-124.31319,1981,03,27,    1.55,  101.08,  0.005926,    3.92,    9.23,    6.34,    8.95,    4.22,    3.30,-999,-999,-999
47.39291,-124.31319,1981,03,28,   27.21,  100.23,  0.006696,    2.83,    9.31,    8.01,    9.18,    6.74,    5.15,-999,-999,-999
47.39291,-124.31319,1981,03,29,   18.28,   99.38,  0.005490,    2.55,    8.21,    5.02,    7.63,    9.00,    6.95,-999,-999,-999
